NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.1025271,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.200157,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.3032778,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.4007957,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.5035344,0
0,1,2,1,0,0.6075547,0.3085001,8.307555,15,3,3,27,27,27,0,2,27,9,3,21,0.6008078,1
0,1,2,2,0,1.107554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,0.703698,1
0,1,2,2,0,1.607554,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,0.8011767,1
0,1,2,2,0,2.107553,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,0.9036745,1
0,1,2,2,0,2.607553,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,1.002624,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,1.100385,1
0,1,2,2,0,3.607552,0.3085001,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,1.203693,1
0,1,2,2,0,4.107552,8.3085,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,1.302401,1
0,1,2,2,0,4.607551,8.3085,0.3085001,15,3,3,27,27,27,0,2,27,9,3,21,1.400627,1
0,1,2,1,0,5.10755,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,1.505044,1
0,1,2,1,0,5.607551,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,1.602055,1
0,1,2,1,0,6.107553,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,1.706039,1
0,1,2,1,0,6.507555,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,1.800236,1
0,1,2,1,0,7.007556,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,1.90025,1
0,1,2,1,0,7.607559,0.3085001,0.3075551,15,3,3,27,27,27,0,2,27,9,3,21,2.001561,1
0,1,2,2,0,8.107561,0.3085001,0.3085001,15,3,2.7,27,26.5,27,0,2,27,9,3,21,2.102546,1
0,1,2,2,0,8.507563,0.3085001,0.3085001,15,3,2.7,27,26.1,27,0,2,27,9,3,21,2.200244,1
0,1,2,2,0,9.107565,0.3085001,0.3085001,15,3,2.7,27,25.49999,27,0,2,27,9,3,21,2.302935,1
0,1,2,2,0,9.607568,0.3085001,0.3085001,15,3,2.7,27,24.99999,27,0,2,27,9,3,21,2.403513,1
1,1,2,1,14.60754,10.00757,0.3085001,8.307554,15,3,2.7,27,24.59999,27,1,2,27,9,3,21,2.500074,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,2.7,27,23.99999,27,1,2,27,9,3,21,2.602242,1
1,1,2,2,13.60754,11.00757,0.3085001,0.3085001,15,3,2.7,27,23.59999,27,1,2,27,9,3,21,2.700154,1
1,1,2,2,13.10754,11.50757,0.3085001,0.3085001,15,3,2.7,27,23.09999,27,1,2,27,9,3,21,2.800179,1
1,1,2,2,12.50753,12.10758,0.3085001,0.3085001,15,3,2.7,27,22.49998,27,1,2,27,9,3,21,2.902083,1
1,1,2,2,12.10753,12.50758,0.3085001,0.3085001,15,3,2.7,27,22.09998,27,1,2,27,9,3,21,3.000084,1
1,1,2,2,11.50753,13.10758,0.3085001,0.3085001,15,3,2.7,27,21.49998,27,1,2,27,9,3,21,3.103298,1
1,1,2,2,11.00753,13.60758,0.3085001,0.3085001,15,3,2.7,27,20.99998,27,1,2,27,9,3,21,3.203036,1
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,2.7,27,20.49998,27,1,2,27,9,3,21,3.302171,1
1,1,1,1,10.00753,14.60758,2.307555,8.307555,15,3,2.7,27,19.99997,27,1,2,27,9,3,21,3.401491,1
1,1,2,2,9.507524,15.10759,0.3085001,0.3085001,15,3,2.7,27,19.49997,27,1,2,27,9,3,21,3.501619,1
1,1,2,2,9.007522,15.60759,0.3085001,0.3085001,15,3,2.7,27,18.99997,27,1,2,27,9,3,21,3.602101,1
1,1,2,2,8.50752,16.10759,0.3085001,0.3085001,15,3,2.7,27,18.49997,27,1,2,27,9,3,21,3.70235,1
1,1,2,2,8.007518,16.60759,0.3085001,0.3085001,15,3,2.7,27,17.99997,27,1,2,27,9,3,21,3.804224,1
5,1,2,2,6.0123,17.10759,0.3085001,0.3085001,15,3,2.7,27,17.49996,27,1,2,27,9,3,21,3.901066,1
5,1,2,2,5.512298,17.6076,0.3085001,0.3085001,15,3,2.7,27,16.99996,27,1,2,27,9,3,21,4.001399,1
5,1,2,2,5.012297,18.1076,0.3085001,0.3085001,15,3,2.7,27.3,16.49996,27,1,2,27,9,3,21,4.103024,1
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,15.99996,27,1,2,27,9,3,21,4.203333,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,15.59996,27,1,2,27,9,3,21,4.300141,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,14.99995,27,1,2,27,9,3,21,4.402701,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,14.49995,27,1,2,27,9,3,21,4.503934,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,13.99995,27,1,2,27,9,3,21,4.602911,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,13.49995,27,1,2,27,9,3,21,4.700642,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,12.99995,27,1,2,27,9,3,21,4.803341,0
1,1,2,2,6.20751,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,12.49994,27,1,2,27,9,3,21,4.900613,0
6,1,2,2,4.557705,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,11.99994,27,1,2,27,9,3,21,5.002793,0
0,1,2,2,0,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,11.49994,27,0,2,27,9,3,21,5.104834,0
0,1,2,2,0,18.4076,0.3085001,0.3085001,15,3,2.7,27.3,10.99994,27,0,2,27,9,3,21,5.200662,0
0,1,2,2,0,18.9076,0.3085001,0.3085001,15,3,2.7,27.3,10.49994,27,0,2,27,9,3,21,5.301907,1
0,1,2,2,0,19.4076,0.3085001,0.3085001,15,3,2.7,27.3,9.999935,27,0,2,27,9,3,21,5.401104,1
1,1,2,2,4.707505,19.9076,0.3085001,0.3085001,15,3,2.7,27.3,9.499933,27,1,2,27,9,3,21,5.503032,1
1,0,2,2,4.207503,0,0.3085001,0.3085001,15,3,2.7,27.3,8.999931,27,1,2,27,9,3,21,5.603127,1
1,0,2,2,3.707502,0,0.3085001,0.3085001,15,3,2.7,27.3,8.499929,27,1,2,27,9,3,21,5.700938,1
1,0,2,2,3.2075,0,0.3085001,0.3085001,15,3,2.7,27.3,7.999928,27,1,2,27,9,3,21,5.800794,1
1,0,2,2,2.707498,0,0.3085001,0.3085001,15,3,2.7,27.3,7.499928,27,1,2,27,9,3,21,5.900619,1
1,0,2,2,2.207496,0,0.3085001,0.3085001,15,3,2.7,27.3,6.999929,27,1,2,27,9,3,21,6.003617,1
1,0,2,2,1.707494,0,0.3085001,0.3085001,15,3,100,100,7.499928,27,1,2,27,9,3,21,6.100554,1
1,0,2,2,1.307492,0,0.3085001,0.3085001,15,3,100,100,7.899928,27,1,2,27,9,3,21,6.200037,1
1,0,2,2,0.7074898,0,0.3085001,0.3085001,15,3,100,100,8.499929,27,1,2,27,9,3,21,6.301213,1
1,0,1,6,0.4074887,0,16.30756,0.7578191,15,3,100,100,8.899931,27,1,2,27,9,3,21,6.400067,4
1,2,1,1,0.4074887,0.2085664,16.90756,7.707553,15,3,100,100,100,100,1,2,27,9,3,21,6.503233,4
1,2,1,1,0.4074887,0.2085664,17.00756,7.607553,15,3,100,100,100,100,1,2,27,9,3,21,6.600284,0
1,2,1,1,0.4074887,0.2085664,17.00756,7.607553,15,3,100,100,100,100,1,2,27,9,3,21,6.700115,0
1,2,1,1,0.4074887,0.2085664,17.00756,7.607553,15,3,100,100,100,100,1,2,27,9,3,21,6.801426,0
1,2,1,1,0.6074894,0.008565661,17.00756,7.607552,15,3,100,100,100,100,1,2,27,9,3,21,6.90038,2
1,2,1,1,0.6074894,0.008565661,17.00756,7.607552,15,3,100,100,100,100,1,2,27,9,3,21,7.003691,2
1,2,1,1,0.6074894,0.008565661,17.40756,7.207551,15,3,100,100,100,100,1,2,27,9,3,21,7.100904,4
1,2,1,1,0.6074894,0.008565661,17.90756,6.707549,15,3,100,100,100,100,1,2,27,9,3,21,7.20245,4
1,2,1,1,0.6074895,0.008565661,18.30756,6.307548,15,3,100,100,100,100,1,2,27,9,3,21,7.300088,4
1,2,1,1,0.6074894,0.008565661,18.90757,5.707545,15,3,100,100,100,100,1,2,27,9,3,21,7.403273,4
1,2,1,1,0.6074894,0.008565661,19.30757,5.307544,15,3,100,100,100,100,1,2,27,9,3,21,7.500117,4
1,2,1,1,0.6074894,0.008565661,19.90757,4.707544,15,3,100,100,100,100,1,2,27,9,3,21,7.60242,4
1,2,0,1,0.6074894,10.00857,0,4.207545,15,3,100,100,100,100,1,2,27,9,3,21,7.70296,4
1,2,0,1,0.6074894,0.008565661,0,3.707546,15,3,100,100,100,100,1,2,27,9,3,21,7.801055,4
1,2,0,1,0.6074894,0.008565661,0,3.207546,15,3,100,100,100,100,1,2,27,9,3,21,7.90233,4
1,2,0,1,0.6074894,0.008565661,0,2.707546,15,3,100,100,100,100,1,2,27,9,3,21,8.001803,4
1,2,0,1,0.6074895,0.008565661,0,2.207547,15,3,100,100,100,100,1,2,27,9,3,21,8.100584,4
1,2,0,1,0.6074894,0.008565661,0,1.707548,15,3,100,100,100,100,1,2,27,9,3,21,8.202217,4
1,2,0,1,0.6074894,0.008565661,0,1.207548,15,3,100,100,100,100,1,2,27,9,3,21,8.30209,4
1,2,0,1,0.6074894,0.008565661,0,1.107548,15,3,100,100,100,100,1,2,27,9,3,21,8.40136,2
1,2,0,1,0.6074894,0.008565661,0,1.107548,15,3,100,100,100,100,1,2,27,9,3,21,8.502135,2
1,2,0,1,0.6074894,0.008565661,0,1.107548,15,3,100,100,100,100,1,2,27,9,3,21,8.60402,4
1,2,0,1,0.6074894,0.008565661,0,0.9075483,15,3,100,100,100,100,1,2,27,9,3,21,8.702935,4
1,2,0,1,0.6074895,10.00857,0,0.6075486,15,3,100,100,100,100,1,2,27,9,3,21,8.801839,4
1,2,2,1,1.007491,9.608564,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,8.90083,2
1,2,2,1,1.507493,9.108562,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,9.000737,2
1,2,2,1,2.007495,8.608561,0.008506534,0.6075486,15,3,100,100,100,100,1,2,27,9,3,21,9.103892,2
1,2,2,1,2.507497,8.108559,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,9.200809,2
1,2,2,1,3.007499,7.608557,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,9.302809,2
1,2,2,1,3.5075,7.108554,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,9.401668,2
1,2,2,1,4.007503,6.608552,0.008506534,0.6075486,15,3,100,100,100,100,1,2,27,9,3,21,9.501066,2
1,2,2,1,4.507504,6.108551,0.008506534,0.6075486,15,3,100,100,100,100,1,2,27,9,3,21,9.602144,2
1,2,2,1,4.907506,5.708549,0.008506534,0.6075485,15,3,100,100,100,100,1,2,27,9,3,21,9.700215,2
win